nombre_audio,cluster
OFF VITO_14.wav,0
OFF VITO_02.wav,0
OFF VITO_01.wav,0
OFF VITO_01.wav,0
C_AGN_371_L1-XOTN_03.wav,1
OFF VITO_01.wav,0
Alvarez Forn 1-2.5.wav,2
OFF VITO_07.wav,0
OFF VITO_07.wav,0
01 - CRUZ DEL SUR-Ãltima.L.wav,3
AVENTURAS V3.4-PiSh_01.L.wav,4
OFF VITO_07.wav,0
CRUZ DEL SUR 01.12.wav,5
OFF VITO_08.wav,0
OFF VITO_08.wav,0
Cufr__ 7-Caminando junto al LEHG I-Tr2.wav,6
OFF VITO_08.wav,0
OFF VITO_14.wav,0
Diego Dumas l 1-2.10.wav,7
OFF VITO_12.wav,0
OFF VITO_15.wav,0
OFF VITO_15.wav,0
OFF VITO_15.wav,0
Cufr__ 9-Cubierta LEHG I-Tr2.2.wav,8
AVENTURAS V3.4.R.wav,4
OFF VITO_15.wav,0
OFF VITO_16.wav,0
OFF VITO_16.wav,0
OFF VITO_16.wav,0
01 - CRUZ DEL SUR-Ãltima.L.wav,3
01 - CRUZ DEL SUR-Ãltima.R.wav,3
OFF VITO_16.wav,0
OFF VITO_16.wav,0
OFF VITO_20.wav,0
OFF VITO_20.wav,0
OFF VITO_20.wav,0
OFF VITO_18.wav,0
OFF VITO_21.wav,0
OFF VITO_21.wav,0
OFF VITO_18.wav,0
OFF VITO_24.wav,0
OFF VITO_24.wav,0
A Cobertizo Chapa VIENTO!-Z2N5_01.L.wav,9
OFF VITO_24.wav,0
OFF VITO_24.wav,0
OFF VITO_24.wav,0
AVENTURAS V3.4-PiSh_03.R.wav,4
OFF VITO_24.wav,0
Cufr__ 9-Cubierta LEHG I-Tr2.wav,8
OFF VITO_26.wav,0
OFF VITO_26.wav,0
Cufr__ 8-Caminando junto al LEHG I-Tr1.2.wav,6
CRIOLLA FUGA 02_05.wav,-1
OFF VITO_26.wav,0
ASCENSO.L.wav,1
Diego Dumas l 1-2.wav,7
OFF VITO_26.wav,0
Diego Dumas l 1-2.8.wav,7
CHACARERA.R.wav,1
OFF VITO_26.wav,0
OFF VITO_26.wav,0
OFF VITO_26.wav,0
OFF VITO_26.wav,0
Alvarez Forn 1-2.8.wav,2
OFF VITO_27.wav,0
Cufr__ 7-Caminando junto al LEHG I-Tr2.2.wav,6
OFF VITO RUEGO-AVrP_01.wav,10
CRIOLLA FUGA 1_16.wav,11
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
CHACARERA.L.wav,1
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
CHACARERA.R.wav,1
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
AVENTURAS V3.4.L.wav,4
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
A Cobertizo Chapa VIENTO!-Z2N5_02.L.wav,9
AVENTURAS V3.4.R.wav,4
OFF ROLO CRUZ DEL SUR_13.wav,12
AVENTURAS LENTO V1-PiSh_01.L.wav,13
OFF ROLO CRUZ DEL SUR_13.wav,12
Alvarez Forn 1-Dd_01.wav,14
OFF ROLO CRUZ DEL SUR_13.wav,12
AVENTURAS V3.4.L.wav,4
DOBRO_1.2.L.wav,1
OFF ROLO CRUZ DEL SUR_13.wav,12
Campanadas-Tr1.2.wav,1
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
40 BR LENTO TORMENTA-PiSh_01.L.wav,15
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
AVENTURAS LENTO V1.R.wav,13
C0032.3.wav,1
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
OFF ROLO CRUZ DEL SUR_13.wav,12
CHACARERA.R.wav,1
OFF ROLO ACTO 1_02.wav,16
OFF ROLO ACTO 1_02.wav,16
OFF ROLO ACTO 1_01.wav,16
OFF ROLO ACTO 1_02.wav,16
OFF ROLO ACTO 1_02.wav,16
OFF ROLO ACTO 1_03.wav,16
40 BR LENTO TORMENTA-PiSh_01.L.wav,15
OFF ROLO ACTO 1_03.wav,16
OFF ROLO ACTO 1_03.wav,16
CRUZ DEL SUR 02.1.wav,5
A Cobertizo Chapa VIENTO!-Z2N5_01.L.wav,9
OFF ROLO ACTO 1_05.wav,16
OFF ROLO ACTO 1_04.wav,16
OFF ROLO ACTO 1_04.wav,16
OFF ROLO ACTO 1_05.wav,16
OFF ROLO ACTO 1_08.wav,16
OFF ROLO ACTO 1_07.wav,16
OFF ROLO ACTO 1_08.wav,16
ASCENSO-AVrT_03.R.wav,1
OFF ROLO ACTO 1_10.wav,16
OFF ROLO ACTO 1_09.wav,16
OFF ROLO ACTO 1_09.wav,16
OFF ROLO ACTO 1_09.wav,16
OFF ROLO ACTO 1_11.wav,16
CRIOLLA FUGA 1_15.wav,11
OFF ROLO ACTO 1_11.wav,16
AVENTURAS V3.4.L.wav,4
AVENTURAS V3.4-PiSh_01.L.wav,4
OFF ROLO ACTO 1_12.wav,16
Cufr__ 9-Cubierta LEHG I-Tr3.2.wav,8
OFF ROLO ACTO 1_12.wav,16
CRUZ DEL SUR 02.7.wav,5
OFF ROLO ACTO 1_14.wav,16
OFF ROLO ACTO 1_15.wav,16
CRIOLLA FUGA 1_07.wav,11
OFF ROLO ACTO 1_13.wav,16
OFF ROLO ACTO 1_15.wav,16
ASCENSO-PiSh_02.L.wav,1
OFF ROLO ACTO 1_17.wav,16
OFF ROLO ACTO 1_15.wav,16
OFF ROLO ACTO 1_17.wav,16
OFF ROLO ACTO 1_18.wav,16
CRIOLLA FUGA 1_17.wav,11
OFF ROLO ACTO 1_18.wav,16
OFF ROLO ACTO 1_19.wav,16
OFF ROLO ACTO 1_16.wav,16
Alvarez Forn 1-2.4.wav,2
Cufr__ 7-Caminando junto al LEHG I-Tr1.2.wav,6
OFF ROLO ACTO 1_22.wav,16
OFF ROLO ACTO 1_20.wav,16
Cufr__ 9-Cubierta LEHG I-Tr1.1.wav,8
OFF ROLO ACTO 1_22.wav,16
CRUZ DEL SUR 02.12.wav,5
AGUA FX.wav,-1
OFF ROLO ACTO 1_23.wav,16
CufrÃ© 9-Cubierta LEHG I-Tr2-Dk_01.wav,17
OFF ROLO ACTO 1_24.wav,16
CufrÃ© 9-Cubierta LEHG I-Tr3.wav,17
CRIOLLA FUGA 1_21.wav,11
OFF ROLO ACTO 1_26.wav,16
OFF ROLO ACTO 1_27.wav,16
OFF ROLO ACTO 1_28.wav,16
CRUZ DEL SUR 01.3.wav,5
AVENTURAS LENTO V1-PiSh_02.R.wav,13
OFF ROLO ACTO 1_02.wav,16
AVENTURAS V3.4.R.wav,4
OFF ROLO ACTO 1_04.wav,16
Alvarez Forn 3-4.3.wav,14
40 BR LENTO TORMENTA-PiSh_01.R.wav,15
OFF ROLO ACTO 1_04.wav,16
C_AGN_371_L1-XOTN_03.wav,1
OFF ROLO ACTO 1_07.wav,16
Diego Dumas l 1-2.19.wav,7
OFF ROLO ACTO 1_11.wav,16
OFF ROLO ACTO 1_14.wav,16
OFF ROLO ACTO 1_18.wav,16
OFF ROLO ACTO 1_18.wav,16
OFF ROLO ACTO 1_23.wav,16
OFF ROLO ACTO 1_25.wav,16
OFF ROLO ACTO 1_15.wav,16
OFF ROLO ACTO 1_21.wav,16
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,6
OFF VITO_02.wav,0
OFF VITO_01.wav,0
40 BR LENTO TORMENTA.R.wav,15
OFF VITO_01.wav,0
Voces franceses 1.wav-AVrP_02.wav,18
Voces franceses 1.wav-AVrP_01.wav,18
OFF VITO_12.wav,0
OFF VITO_21.wav,0
