nombre_audio,cluster
OFF VITO_14.wav,0
OFF VITO_02.wav,1
OFF VITO_01.wav,10
OFF VITO_01.wav,10
C_AGN_371_L1-XOTN_03.wav,61
OFF VITO_01.wav,10
Alvarez Forn 1-2.5.wav,-1
OFF VITO_07.wav,33
OFF VITO_07.wav,33
01 - CRUZ DEL SUR-Ãltima.L.wav,1176
AVENTURAS V3.4-PiSh_01.L.wav,1178
OFF VITO_07.wav,33
CRUZ DEL SUR 01.12.wav,1183
OFF VITO_08.wav,18
OFF VITO_08.wav,18
Cufr__ 7-Caminando junto al LEHG I-Tr2.wav,1193
OFF VITO_08.wav,18
OFF VITO_14.wav,0
Diego Dumas l 1-2.10.wav,1201
OFF VITO_12.wav,29
OFF VITO_15.wav,9
OFF VITO_15.wav,9
OFF VITO_15.wav,9
Cufr__ 9-Cubierta LEHG I-Tr2.2.wav,1210
AVENTURAS V3.4.R.wav,1182
OFF VITO_15.wav,9
OFF VITO_16.wav,12
OFF VITO_16.wav,12
OFF VITO_16.wav,12
01 - CRUZ DEL SUR-Ãltima.L.wav,1176
01 - CRUZ DEL SUR-Ãltima.R.wav,1177
OFF VITO_16.wav,12
OFF VITO_16.wav,12
OFF VITO_20.wav,7
OFF VITO_20.wav,7
OFF VITO_20.wav,7
OFF VITO_18.wav,26
OFF VITO_21.wav,17
OFF VITO_21.wav,17
OFF VITO_18.wav,26
OFF VITO_24.wav,60
OFF VITO_24.wav,60
A Cobertizo Chapa VIENTO!-Z2N5_01.L.wav,1216
OFF VITO_24.wav,60
OFF VITO_24.wav,60
OFF VITO_24.wav,60
AVENTURAS V3.4-PiSh_03.R.wav,1179
OFF VITO_24.wav,60
Cufr__ 9-Cubierta LEHG I-Tr2.wav,-1
OFF VITO_26.wav,59
OFF VITO_26.wav,59
Cufr__ 8-Caminando junto al LEHG I-Tr1.2.wav,1194
CRIOLLA FUGA 02_05.wav,-1
OFF VITO_26.wav,59
ASCENSO.L.wav,-1
