nombre_audio,categoria,nombre_track
OFF VITO_14.wav,DLG,OFF VITO
OFF VITO_02.wav,DLG,OFF VITO 01
OFF VITO_01.wav,DLG,OFF VITO 01
OFF VITO_01.wav,DLG,OFF VITO 01
C_AGN_371_L1-XOTN_03.wav,DLG,OFF VITO 01
OFF VITO_01.wav,DLG,OFF VITO 01
Alvarez Forn 1-2.5.wav,DLG,OFF VITO 01
OFF VITO_07.wav,DLG,OFF VITO 01
OFF VITO_07.wav,DLG,OFF VITO 01
01 - CRUZ DEL SUR-Ãltima.L.wav,DLG,OFF VITO 01
AVENTURAS V3.4-PiSh_01.L.wav,DLG,OFF VITO 01
OFF VITO_07.wav,DLG,OFF VITO 01
CRUZ DEL SUR 01.12.wav,DLG,OFF VITO 01
OFF VITO_08.wav,DLG,OFF VITO 01
OFF VITO_08.wav,DLG,OFF VITO 01
Cufr__ 7-Caminando junto al LEHG I-Tr2.wav,DLG,OFF VITO 01
OFF VITO_08.wav,DLG,OFF VITO 01
OFF VITO_14.wav,DLG,OFF VITO 01
Diego Dumas l 1-2.10.wav,DLG,OFF VITO 01
OFF VITO_12.wav,DLG,OFF VITO 01
OFF VITO_15.wav,DLG,OFF VITO 01
OFF VITO_15.wav,DLG,OFF VITO 01
OFF VITO_15.wav,DLG,OFF VITO 01
Cufr__ 9-Cubierta LEHG I-Tr2.2.wav,DLG,OFF VITO 01
AVENTURAS V3.4.R.wav,DLG,OFF VITO 01
OFF VITO_15.wav,DLG,OFF VITO 01
OFF VITO_16.wav,DLG,OFF VITO 01
OFF VITO_16.wav,DLG,OFF VITO 01
OFF VITO_16.wav,DLG,OFF VITO 01
01 - CRUZ DEL SUR-Ãltima.L.wav,DLG,OFF VITO 01
01 - CRUZ DEL SUR-Ãltima.R.wav,DLG,OFF VITO 01
OFF VITO_16.wav,DLG,OFF VITO 01
OFF VITO_16.wav,DLG,OFF VITO 01
OFF VITO_20.wav,DLG,OFF VITO 01
OFF VITO_20.wav,DLG,OFF VITO 01
OFF VITO_20.wav,DLG,OFF VITO 01
OFF VITO_18.wav,DLG,OFF VITO 01
OFF VITO_21.wav,DLG,OFF VITO 01
OFF VITO_21.wav,DLG,OFF VITO 01
OFF VITO_18.wav,DLG,OFF VITO 01
OFF VITO_24.wav,DLG,OFF VITO 01
OFF VITO_24.wav,DLG,OFF VITO 01
A Cobertizo Chapa VIENTO!-Z2N5_01.L.wav,DLG,OFF VITO 01
OFF VITO_24.wav,DLG,OFF VITO 01
OFF VITO_24.wav,DLG,OFF VITO 01
OFF VITO_24.wav,DLG,OFF VITO 01
AVENTURAS V3.4-PiSh_03.R.wav,DLG,OFF VITO 01
OFF VITO_24.wav,DLG,OFF VITO 01
Cufr__ 9-Cubierta LEHG I-Tr2.wav,DLG,OFF VITO 01
OFF VITO_26.wav,DLG,OFF VITO 01
OFF VITO_26.wav,DLG,OFF VITO 01
Cufr__ 8-Caminando junto al LEHG I-Tr1.2.wav,DLG,OFF VITO 01
CRIOLLA FUGA 02_05.wav,DLG,OFF VITO 01
OFF VITO_26.wav,DLG,OFF VITO 01
ASCENSO.L.wav,DLG,OFF VITO 01
Diego Dumas l 1-2.wav,DLG,OFF VITO 01
OFF VITO_26.wav,DLG,OFF VITO 01
Diego Dumas l 1-2.8.wav,DLG,OFF VITO 01
CHACARERA.R.wav,DLG,OFF VITO 01
OFF VITO_26.wav,DLG,OFF VITO 01
OFF VITO_26.wav,DLG,OFF VITO 01
OFF VITO_26.wav,DLG,OFF VITO 01
OFF VITO_26.wav,DLG,OFF VITO 01
Alvarez Forn 1-2.8.wav,DLG,OFF VITO 01
OFF VITO_27.wav,DLG,OFF VITO 01
Cufr__ 7-Caminando junto al LEHG I-Tr2.2.wav,DLG,OFF VITO 01
OFF VITO RUEGO-AVrP_01.wav,DLG,OFF 01
CRIOLLA FUGA 1_16.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
CHACARERA.L.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
CHACARERA.R.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
AVENTURAS V3.4.L.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
A Cobertizo Chapa VIENTO!-Z2N5_02.L.wav,DLG,OFF 01
AVENTURAS V3.4.R.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
AVENTURAS LENTO V1-PiSh_01.L.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
Alvarez Forn 1-Dd_01.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
AVENTURAS V3.4.L.wav,DLG,OFF 01
DOBRO_1.2.L.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
Campanadas-Tr1.2.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
40 BR LENTO TORMENTA-PiSh_01.L.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
AVENTURAS LENTO V1.R.wav,DLG,OFF 01
C0032.3.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 01
CHACARERA.R.wav,DLG,OFF 01
OFF ROLO ACTO 1_02.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_02.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_01.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_02.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_02.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_03.wav,DLG,OFF ROLO 01
40 BR LENTO TORMENTA-PiSh_01.L.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_03.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_03.wav,DLG,OFF ROLO 01
CRUZ DEL SUR 02.1.wav,DLG,OFF ROLO 01
A Cobertizo Chapa VIENTO!-Z2N5_01.L.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_05.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_04.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_04.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_05.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_08.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_07.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_08.wav,DLG,OFF ROLO 01
ASCENSO-AVrT_03.R.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_10.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_09.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_09.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_09.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_11.wav,DLG,OFF ROLO 01
CRIOLLA FUGA 1_15.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_11.wav,DLG,OFF ROLO 01
AVENTURAS V3.4.L.wav,DLG,OFF ROLO 01
AVENTURAS V3.4-PiSh_01.L.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_12.wav,DLG,OFF ROLO 01
Cufr__ 9-Cubierta LEHG I-Tr3.2.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_12.wav,DLG,OFF ROLO 01
CRUZ DEL SUR 02.7.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_14.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_15.wav,DLG,OFF ROLO 01
CRIOLLA FUGA 1_07.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_13.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_15.wav,DLG,OFF ROLO 01
ASCENSO-PiSh_02.L.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_17.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_15.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_17.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_18.wav,DLG,OFF ROLO 01
CRIOLLA FUGA 1_17.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_18.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_19.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_16.wav,DLG,OFF ROLO 01
Alvarez Forn 1-2.4.wav,DLG,OFF ROLO 01
Cufr__ 7-Caminando junto al LEHG I-Tr1.2.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_22.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_20.wav,DLG,OFF ROLO 01
Cufr__ 9-Cubierta LEHG I-Tr1.1.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_22.wav,DLG,OFF ROLO 01
CRUZ DEL SUR 02.12.wav,DLG,OFF ROLO 01
AGUA FX.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_23.wav,DLG,OFF ROLO 01
CufrÃ© 9-Cubierta LEHG I-Tr2-Dk_01.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_24.wav,DLG,OFF ROLO 01
CufrÃ© 9-Cubierta LEHG I-Tr3.wav,DLG,OFF ROLO 01
CRIOLLA FUGA 1_21.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_26.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_27.wav,DLG,OFF ROLO 01
OFF ROLO ACTO 1_28.wav,DLG,OFF ROLO 01
CRUZ DEL SUR 01.3.wav,DLG,OFF ROLO 01
AVENTURAS LENTO V1-PiSh_02.R.wav,DLG,OFF ROLO 02
OFF ROLO ACTO 1_02.wav,DLG,OFF ROLO 02
AVENTURAS V3.4.R.wav,DLG,OFF ROLO 02
OFF ROLO ACTO 1_04.wav,DLG,OFF ROLO 02
Alvarez Forn 3-4.3.wav,DLG,OFF ROLO 02
40 BR LENTO TORMENTA-PiSh_01.R.wav,DLG,OFF ROLO 02
OFF ROLO ACTO 1_04.wav,DLG,OFF ROLO 02
C_AGN_371_L1-XOTN_03.wav,DLG,OFF ROLO 02
OFF ROLO ACTO 1_07.wav,DLG,OFF ROLO 02
Diego Dumas l 1-2.19.wav,DLG,OFF ROLO 02
OFF ROLO ACTO 1_11.wav,DLG,OFF ROLO 02
OFF ROLO ACTO 1_14.wav,DLG,OFF ROLO 02
OFF ROLO ACTO 1_18.wav,DLG,OFF ROLO 02
OFF ROLO ACTO 1_18.wav,DLG,OFF ROLO 02
OFF ROLO ACTO 1_23.wav,DLG,OFF ROLO 02
OFF ROLO ACTO 1_25.wav,DLG,OFF ROLO 02
OFF ROLO ACTO 1_15.wav,DLG,OFF ROLO 03
OFF ROLO ACTO 1_21.wav,DLG,OFF ROLO 03
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,DLG,OFF 02
OFF VITO_02.wav,DLG,OFF 02
OFF VITO_01.wav,DLG,OFF 02
40 BR LENTO TORMENTA.R.wav,DLG,OFF 02
OFF VITO_01.wav,DLG,OFF 02
Voces franceses 1.wav-AVrP_02.wav,DLG,OFF 02
Voces franceses 1.wav-AVrP_01.wav,DLG,OFF 02
OFF VITO_12.wav,DLG,OFF 02
OFF VITO_21.wav,DLG,OFF 02
OFF VITO_22.wav,DLG,OFF 02
OFF VITO RUEGO.wav,DLG,OFF 02
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 02
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 02
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 02
OFF ROLO CRUZ DEL SUR_13.wav,DLG,OFF 02
CRUZ DEL SUR 01.25.wav,DLG,OFF 02
C0028 (2).wav,DLG,DIR 01
C0028 (2).wav,DLG,DIR 01
C0028 (2).1.wav,DLG,DIR 01
C0032.wav,DLG,DIR 01
C0032.1.wav,DLG,DIR 01
C0032.2.wav,DLG,DIR 01
C0032.3.wav,DLG,DIR 01
Dumas yendo al fondeadero (1).wav,DLG,DIR 01
Diego Dumas l 1-2.10.wav,DLG,DIR 01
Dumas en Iglesia St. Ferdinand (4).wav,DLG,DIR 01
Entrevista Bossuet  Canon (1).MOV.wav,DLG,DIR 01
C0032.2.wav,DLG,DIR 01
Entrevista Bossuet  Canon (2).1.wav,DLG,DIR 01
AVENTURAS LENTO V1-PiSh_01.L.wav,DLG,DIR 01
Entrevista Bossuet  Canon (1).wav,DLG,DIR 01
Entrevista Bossuet  Canon (1).wav,DLG,DIR 01
Entrevista Bossuet  Canon (1).wav,DLG,DIR 01
C0026.5.wav,DLG,DIR 01
CRIOLLA FUGA 1_16.wav,DLG,DIR 01
Entrevista Bossuet  Canon (1).wav,DLG,DIR 01
Entrevista Bossuet  Canon (1).1.wav,DLG,DIR 01
Entrevista Bossuet  Canon (2).wav,DLG,DIR 01
ASCENSO-AVrT_03.R.wav,DLG,DIR 01
Entrevista Bossuet  Canon (2).1.wav,DLG,DIR 01
Entrevista Bossuet  Canon (3).wav,DLG,DIR 01
CRUZ DEL SUR 01.10.wav,DLG,DIR 01
Diego Dumas l 1-2.wav,DLG,DIR 01
Diego Dumas l 1-2.1.wav,DLG,DIR 01
Diego Dumas l 1-2.2.wav,DLG,DIR 01
CRIOLLA FUGA 1_02.wav,DLG,DIR 01
CRUZ DEL SUR 01.6.wav,DLG,DIR 01
Diego Dumas l 1-2.3.wav,DLG,DIR 01
Diego Dumas l 1-2.4.wav,DLG,DIR 01
Diego Dumas l 1-2.5.wav,DLG,DIR 01
CRUZ DEL SUR 01.28.wav,DLG,DIR 01
